[2026-07-15 09:52:08] INFO | Token valid - continuing sync
[2026-07-15 09:52:08] INFO | --- Sync cycle started ---
[2026-07-15 09:52:08] INFO |   Company: no changes
[2026-07-15 09:52:08] INFO |   Warehouse: no changes
[2026-07-15 09:52:08] INFO |   ProductGroup: no changes
[2026-07-15 09:52:08] INFO |   DocumentType: no changes
[2026-07-15 09:52:08] INFO |   PaymentType: no changes
[2026-07-15 09:52:08] INFO |   FiscalItem: no changes
[2026-07-15 09:52:08] INFO |   Customer: no changes
[2026-07-15 09:52:08] INFO |   Product: no changes
[2026-07-15 09:52:08] INFO |   Barcode: no changes
[2026-07-15 09:52:08] INFO |   Stock: no changes
[2026-07-15 09:52:08] INFO |   DocumentItem: no changes
[2026-07-15 09:52:08] INFO |   DocumentItemTax: no changes
[2026-07-15 09:52:08] INFO |   Payment: no changes
[2026-07-15 09:52:08] INFO |   PosOrderItem: no changes
[2026-07-15 09:52:08] INFO |   LoyaltyCard: no changes
[2026-07-15 09:52:08] INFO |   CustomerDiscount: no changes
[2026-07-15 09:52:08] INFO |   Tax: no changes
[2026-07-15 09:52:08] INFO |   ProductTax: no changes
[2026-07-15 09:52:08] INFO |   DocumentCategory: no changes
[2026-07-15 09:52:08] INFO | Reconciling StartingCash...
[2026-07-15 09:52:08] INFO | Reconciling DocumentCategory...
[2026-07-15 09:52:08] INFO | Reconciling ProductTax...
[2026-07-15 09:52:09] INFO | Reconciling Tax...
[2026-07-15 09:52:09] INFO | Reconciling CustomerDiscount...
[2026-07-15 09:52:09] INFO | Reconciling LoyaltyCard...
[2026-07-15 09:52:09] INFO | Reconciling PosOrder...
[2026-07-15 09:52:09] INFO | Reconciling ZReport...
[2026-07-15 09:52:09] INFO | Reconciling Document...
[2026-07-15 09:52:10] INFO | Reconciling Stock...
[2026-07-15 09:52:10] INFO | Reconciling Barcode...
[2026-07-15 09:52:10] INFO | Reconciling Product...
[2026-07-15 09:52:10] INFO | Reconciling Customer...
[2026-07-15 09:52:10] INFO | Reconciling FiscalItem...
[2026-07-15 09:52:10] INFO | Reconciling PaymentType...
[2026-07-15 09:52:10] INFO | Reconciling DocumentType...
[2026-07-15 09:52:11] INFO | Reconciling ProductGroup...
[2026-07-15 09:52:11] INFO | Reconciling Warehouse...
[2026-07-15 09:52:11] INFO | Reconciling Company...
[2026-07-15 09:52:11] INFO | --- Sync completed: 0 rows synced ---
[2026-07-15 09:52:53] INFO | Aronium Agent v12.2 started | server=https://aronium-sync.onrender.com
[2026-07-15 09:52:53] INFO | Aronium DB found: C:\Users\Mohammed\AppData\Local\Aronium\Data\pos.db
[2026-07-15 09:52:54] INFO | Token valid - continuing sync
[2026-07-15 09:52:54] INFO | --- Sync cycle started ---
[2026-07-15 09:52:54] INFO |   Company: no changes
[2026-07-15 09:52:54] INFO |   Warehouse: no changes
[2026-07-15 09:52:54] INFO |   ProductGroup: no changes
[2026-07-15 09:52:54] INFO |   DocumentType: no changes
[2026-07-15 09:52:54] INFO |   PaymentType: no changes
[2026-07-15 09:52:54] INFO |   FiscalItem: no changes
[2026-07-15 09:52:54] INFO |   Customer: no changes
[2026-07-15 09:52:54] INFO |   Product: no changes
[2026-07-15 09:52:54] INFO |   Barcode: no changes
[2026-07-15 09:52:54] INFO |   Stock: no changes
[2026-07-15 09:52:54] INFO |   DocumentItem: no changes
[2026-07-15 09:52:54] INFO |   DocumentItemTax: no changes
[2026-07-15 09:52:54] INFO |   Payment: no changes
[2026-07-15 09:52:54] INFO |   PosOrderItem: no changes
[2026-07-15 09:52:54] INFO |   LoyaltyCard: no changes
[2026-07-15 09:52:54] INFO |   CustomerDiscount: no changes
[2026-07-15 09:52:54] INFO |   Tax: no changes
[2026-07-15 09:52:54] INFO |   ProductTax: no changes
[2026-07-15 09:52:54] INFO |   DocumentCategory: no changes
[2026-07-15 09:52:54] INFO | Reconciling StartingCash...
[2026-07-15 09:52:54] INFO | Reconciling DocumentCategory...
[2026-07-15 09:52:54] INFO | Reconciling ProductTax...
[2026-07-15 09:52:54] INFO | Reconciling Tax...
[2026-07-15 09:52:54] INFO | Reconciling CustomerDiscount...
[2026-07-15 09:52:54] INFO | Reconciling LoyaltyCard...
[2026-07-15 09:52:55] INFO | Reconciling PosOrder...
[2026-07-15 09:52:55] INFO | Reconciling ZReport...
[2026-07-15 09:52:55] INFO | Reconciling Document...
[2026-07-15 09:52:55] INFO | Reconciling Stock...
[2026-07-15 09:52:55] INFO | Reconciling Barcode...
[2026-07-15 09:52:55] INFO | Reconciling Product...
[2026-07-15 09:52:55] INFO | Reconciling Customer...
[2026-07-15 09:52:56] INFO | Reconciling FiscalItem...
[2026-07-15 09:52:56] INFO | Reconciling PaymentType...
[2026-07-15 09:52:56] INFO | Reconciling DocumentType...
[2026-07-15 09:52:56] INFO | Reconciling ProductGroup...
[2026-07-15 09:52:56] INFO | Reconciling Warehouse...
[2026-07-15 09:52:56] INFO | Reconciling Company...
[2026-07-15 09:52:57] INFO | --- Sync completed: 0 rows synced ---
